data_id,sensor_name,timestamp,measurement_type,value
7587,Photoresistor Sensor,1749289427,voltage,0.63
7588,Photoresistor Sensor,1749289430,light_value,863.0
7588,Photoresistor Sensor,1749289430,voltage,0.7
7589,Photoresistor Sensor,1749289432,light_value,883.0
7589,Photoresistor Sensor,1749289432,voltage,0.71
7590,Photoresistor Sensor,1749289435,light_value,896.0
7590,Photoresistor Sensor,1749289435,voltage,0.72
7591,Photoresistor Sensor,1749289437,light_value,882.0
7591,Photoresistor Sensor,1749289437,voltage,0.71
7592,Photoresistor Sensor,1749289440,light_value,887.0
7592,Photoresistor Sensor,1749289440,voltage,0.71
7593,Photoresistor Sensor,1749289442,light_value,883.0
7593,Photoresistor Sensor,1749289442,voltage,0.71
7594,Photoresistor Sensor,1749289444,light_value,906.0
7594,Photoresistor Sensor,1749289444,voltage,0.73
7595,Photoresistor Sensor,1749289447,light_value,927.0
7595,Photoresistor Sensor,1749289447,voltage,0.75
7596,Photoresistor Sensor,1749289449,light_value,910.0
7596,Photoresistor Sensor,1749289449,voltage,0.73
7597,Photoresistor Sensor,1749289452,light_value,912.0
7597,Photoresistor Sensor,1749289452,voltage,0.73
7598,Photoresistor Sensor,1749289454,light_value,914.0
7598,Photoresistor Sensor,1749289454,voltage,0.74
7599,Photoresistor Sensor,1749289456,light_value,912.0
7599,Photoresistor Sensor,1749289456,voltage,0.73
7600,Photoresistor Sensor,1749289459,light_value,919.0
7600,Photoresistor Sensor,1749289459,voltage,0.74
7601,Photoresistor Sensor,1749289461,light_value,899.0
7601,Photoresistor Sensor,1749289461,voltage,0.72
7602,Photoresistor Sensor,1749289463,light_value,918.0
7602,Photoresistor Sensor,1749289463,voltage,0.74
7603,Photoresistor Sensor,1749289466,light_value,911.0
7603,Photoresistor Sensor,1749289466,voltage,0.73
7604,Photoresistor Sensor,1749289468,light_value,919.0
7604,Photoresistor Sensor,1749289468,voltage,0.74
7605,Photoresistor Sensor,1749289471,light_value,922.0
7605,Photoresistor Sensor,1749289471,voltage,0.74
7606,Photoresistor Sensor,1749289473,light_value,913.0
7606,Photoresistor Sensor,1749289473,voltage,0.74
7607,Photoresistor Sensor,1749289476,light_value,911.0
7607,Photoresistor Sensor,1749289476,voltage,0.73
7608,Temperature Sensor,1749289478,temperature,22.0
7609,Photoresistor Sensor,1749289480,light_value,912.0
7609,Photoresistor Sensor,1749289480,voltage,0.73
7610,Photoresistor Sensor,1749289483,light_value,913.0
7610,Photoresistor Sensor,1749289483,voltage,0.74
7611,Photoresistor Sensor,1749289485,light_value,903.0
7611,Photoresistor Sensor,1749289485,voltage,0.73
7612,Photoresistor Sensor,1749289488,light_value,928.0
7612,Photoresistor Sensor,1749289488,voltage,0.75
7613,Photoresistor Sensor,1749289490,light_value,906.0
7613,Photoresistor Sensor,1749289490,voltage,0.73
7614,Photoresistor Sensor,1749289492,light_value,907.0
7614,Photoresistor Sensor,1749289492,voltage,0.73
7615,Photoresistor Sensor,1749289495,light_value,903.0
7615,Photoresistor Sensor,1749289495,voltage,0.73
7616,Photoresistor Sensor,1749289541,light_value,880.0
7616,Photoresistor Sensor,1749289541,voltage,1.07
7617,Microwave Radar Sensor,1749289543,motion_detected,0.0
7618,ACS712 Hall Effect Sensor,1749289546,current,0.18
7619,Temperature Sensor,1749289548,temperature,22.0
7620,Humidity Sensor,1749289551,humidity,72.2
7621,Photoresistor Sensor,1749289553,light_value,889.0
7621,Photoresistor Sensor,1749289553,voltage,1.09
7622,Microwave Radar Sensor,1749289556,motion_detected,0.0
7623,ACS712 Hall Effect Sensor,1749289558,current,0.04
7624,Photoresistor Sensor,1749289560,light_value,890.0
7624,Photoresistor Sensor,1749289560,voltage,1.09
7625,Microwave Radar Sensor,1749289563,motion_detected,0.0
7626,ACS712 Hall Effect Sensor,1749289565,current,0.01
7627,Photoresistor Sensor,1749289568,light_value,883.0
7627,Photoresistor Sensor,1749289568,voltage,1.08
7628,Microwave Radar Sensor,1749289570,motion_detected,0.0
7629,ACS712 Hall Effect Sensor,1749289572,current,0.02
7630,Temperature Sensor,1749289575,temperature,22.0
7631,Humidity Sensor,1749289577,humidity,72.2
7632,Photoresistor Sensor,1749289580,light_value,886.0
7632,Photoresistor Sensor,1749289580,voltage,1.08
7633,Photoresistor Sensor,1749289625,light_value,842.0
7633,Photoresistor Sensor,1749289625,voltage,0.68
7634,Microwave Radar Sensor,1749289628,motion_detected,0.0
7635,ACS712 Hall Effect Sensor,1749289630,current,6.41
7636,Temperature Sensor,1749289633,temperature,22.0
7637,Humidity Sensor,1749289635,humidity,70.8
7638,Photoresistor Sensor,1749289637,light_value,882.0
7638,Photoresistor Sensor,1749289637,voltage,0.71
7639,Microwave Radar Sensor,1749289640,motion_detected,0.0
7640,ACS712 Hall Effect Sensor,1749289642,current,6.4
7641,Temperature Sensor,1749289644,temperature,22.0
7642,Humidity Sensor,1749289647,humidity,70.0
7643,Photoresistor Sensor,1749289649,light_value,874.0
7643,Photoresistor Sensor,1749289649,voltage,0.7
7644,Microwave Radar Sensor,1749289652,motion_detected,0.0
7645,ACS712 Hall Effect Sensor,1749289654,current,6.64
7646,Temperature Sensor,1749289657,temperature,22.0
7647,Humidity Sensor,1749289659,humidity,70.0
7648,Photoresistor Sensor,1749289661,light_value,891.0
7648,Photoresistor Sensor,1749289661,voltage,0.72
7649,Microwave Radar Sensor,1749289664,motion_detected,0.0
7650,ACS712 Hall Effect Sensor,1749289666,current,6.62
7651,Temperature Sensor,1749289669,temperature,22.0
7652,Humidity Sensor,1749289671,humidity,69.2
7653,Photoresistor Sensor,1749289673,light_value,880.0
7653,Photoresistor Sensor,1749289673,voltage,0.71
7654,Microwave Radar Sensor,1749289676,motion_detected,0.0
7655,ACS712 Hall Effect Sensor,1749289678,current,6.63
7656,Photoresistor Sensor,1749289725,light_value,878.0
7656,Photoresistor Sensor,1749289725,voltage,0.71
